info-network_id,info-layer_i,info-layer_j,info-layer_distance,r2_y_given_hip1,r2_y_given_hip1_hi,delta_r2_y_hi_given_hip1,r2_residual_y_given_hi_after_hip1,cmi_proxy_hi_y_given_hip1,varfrac_yhat_from_hip1,varfrac_yhat_from_hip1_hi,varfrac_increment_hi_given_hip1,nonlin_mse_rev,nonlin_prop_perfect_perdim_avg,cka,trustworthiness,dec_lin_i,dec_lin_j,dec_lin_diff,dec_lin_ratio,cond_gain_R2,grad_norm_i,grad_norm_j,grad_norm_diff,grad_norm_rel_diff,grad_norm_log_ratio,y_nonlin_asym,label-starts_skip,label-skip_start_count,label-recieved_skips,label-num_recieved_skips,label-not_in_skip_range,split
33a54d6e-e4ee-4aa4-9ef3-06f2bfc0b3ae,4,3,-1,-3.5550066873441115,-4.296049594258153,0.7096439239279584,-1.05082597152696,-0.4461036056018283,-3.604594476887773,-4.710546261833071,0.7917728023313649,0.45115742396196157,-0.4294642868944935,-0.14944816446529507,0.33193949638043235,-5.203141738212874,-5.2212551332954344,-0.0552389969048049,-0.0036276299249096314,-0.08071106342808933,-1.296464151988717,-1.4024210911707369,-0.5574765407168982,-0.015207511126573502,-0.08722834574443579,0.03358214304998909,0,0,0,0,1,train
33a54d6e-e4ee-4aa4-9ef3-06f2bfc0b3ae,5,4,-1,-4.06143949800004,-1.017706030639188,5.378800214498822,1.4244679149131851,-0.16466034815543062,-4.610764669785745,-2.4028046926735116,4.832764076291996,0.13828781105615512,0.479443533734595,-0.2661487698310294,0.3827870475685486,-5.204578304092349,-5.229379075581895,-0.02690979991573457,-0.0022728853499101196,-0.10827147047534995,-1.1561507138660305,-1.1691532255784314,-0.5557595455094607,-0.44682940772376034,-0.45694469052740966,0.03358215479716391,0,0,0,0,1,train
33a54d6e-e4ee-4aa4-9ef3-06f2bfc0b3ae,6,5,-1,-0.8891145275347264,-0.07370867943641614,1.352560805939266,1.0647877899522535,0.0010023057848650417,-1.844659835107716,-0.38726440859725764,2.538791869503619,0.11725347730933253,0.009066865098045615,-0.2532321427056274,0.27092243495468876,-5.268256984816851,-5.230824238071226,-0.29250034697123833,-0.0017951997958680532,-0.023209785091384088,-0.983301788518772,-1.0153433804587464,-0.4952691275372362,-0.25131407240904835,-0.29099628168494496,0.03358216005697415,1,1,0,0,0,train
33a54d6e-e4ee-4aa4-9ef3-06f2bfc0b3ae,7,6,-1,0.007759270339967713,-0.08646396995221946,-0.11408556282062969,-0.043829846861272226,-0.29453863164246946,-0.6566641354805886,-0.156517329699134,0.8840870601394163,0.9568182556151084,-0.9729295534700461,0.3770510871132924,-0.6545029966690853,-5.239737168811028,-5.294883980870323,0.10091573866901588,-0.0023134988430267168,-0.08358646493376617,-0.7067957260013125,-0.8258685390432022,-0.3903797852458746,0.34701508370572615,0.2377106302425541,0.03358215895307338,0,0,0,0,0,train
33a54d6e-e4ee-4aa4-9ef3-06f2bfc0b3ae,8,7,-1,-0.38078299327677806,0.018984431617524965,0.6386223574202734,1.5654164369333983,-0.4694166134645795,-1.9760467449389036,-0.029547214653920503,3.125909849900679,-0.7388703954210746,-0.3595082312506503,0.3847475368321994,-0.705350547857206,-5.299510718401726,-5.2661934983222505,-0.2758369364053691,-0.002191385262899697,0.2275368396589253,-0.5526998078977379,-0.5227660335420702,-0.3965713785663565,-0.36389890486918686,-0.38664666157998545,0.03358215517539852,0,0,0,0,0,train
33a54d6e-e4ee-4aa4-9ef3-06f2bfc0b3ae,9,8,-1,0.030485740903219156,0.023623184706995936,-0.021605367360499887,-0.29915523717100434,-0.41198375063526843,-0.500200780025049,0.015569920772422762,0.8155729664714577,0.07579489442279863,-1.0345327438487693,0.3787585842603541,-1.0714529164116606,-5.204051470029728,-5.32632474114016,0.386549999426103,-0.0023503379553402154,0.5889308595996263,-0.17883065244148666,-0.3538480053460644,-0.2379990556623653,0.8645473638017118,0.7343145458885751,0.033582162629260344,0,0,0,0,0,train
33a54d6e-e4ee-4aa4-9ef3-06f2bfc0b3ae,10,9,-1,-0.11867243649016714,0.013305928571672756,0.20770566335001905,-0.29145014850773254,0.237309551942737,-1.352644312856816,0.12654190079220898,2.294512407936137,0.18526896415886682,-1.4788064907110785,-10.689837389061292,-7.000277384946416,-5.214527011847146,-5.2302942513603625,-0.06547961024684602,-0.002200323545234676,-0.2324228445922368,0.5357371399952293,0.05598271126336446,-0.026673971069938105,2.2508326455210694,2.4720600516329925,0.033582155053247284,0,0,1,1,0,train
f9dc5598-86d2-4179-8a7a-6523357846f3,1,0,-1,0.17100367312524775,0.14322003929567517,-0.10861465489730927,-1.1623183947413482,-0.5137356272049515,0.13323052823057088,0.08740955991941934,-0.12068660405482876,-0.45078222299794285,-1.1530405445428398,-1.08415163995993,0.12854929162795606,0.2021190026927479,0.2082802580202603,-0.021003689908243323,-0.0022860379485419857,-0.07874377236846697,-0.3891240304954956,-0.18714718430258295,-0.5993038256942418,-1.242702679352253,-1.1139493949424928,0.03358215860416451,0,0,0,0,0,train
f9dc5598-86d2-4179-8a7a-6523357846f3,2,1,-1,0.1701688787953316,0.142504677667229,-0.10810344877035923,-1.0929672410309026,-0.5035588118093115,0.1324135316505474,0.08627117794524386,-0.12058171473273907,0.4581736183370053,-0.4842806808935609,0.35983627751425223,0.1488883121032039,0.2019764615301212,0.20822749674205124,-0.02138812486811486,-0.002286039118101381,-0.07866648770094362,-0.6443558531981838,-0.17453827333328287,3.5720701079366317,-2.856653539008176,-2.474437350344567,0.03358216211777405,0,0,1,1,0,train
f9dc5598-86d2-4179-8a7a-6523357846f3,3,2,-1,0.1663664773222714,0.13807250872344295,-0.10715320679320499,-1.2727009177451358,-0.5371190482929736,0.12851456136463174,0.08099188548895432,-0.11991935808769119,0.6974268925367741,-0.41902308084409917,0.3847254571277115,0.10821027115271045,0.20012889639286957,0.2080841025932991,-0.02866355648368369,-0.0022860612525210213,-0.07850745963507824,-0.6818238831203538,-0.4543202218390978,3.8035911183732782,-1.5483353644425182,-1.3637253863283987,0.03358215841008176,0,0,1,1,0,train
